TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:2143108	AT5G12020	AT5G12020.1	protein_coding	17.6 kDa class II heat shock protein;(source:Araport11)	17.6 KDA CLASS II HEAT SHOCK PROTEIN; HSP17.6II	 cytoplasm, M germinated pollen stage, carpel, cellular response to hypoxia, cytoplasm, flower, flower pedicel, flowering stage, guard cell, petal differentiation and expansion stage, plant embryo, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, protein complex oligomerization, protein folding, protein self-association, response to heat, response to hydrogen peroxide, response to reactive oxygen species, response to salt stress, root, stamen, unfolded protein binding	true
Gene:2164609	AT5G57050	AT5G57050.1	protein_coding	Encodes a protein phosphatase 2C and is involved in ABA signal transduction. Binds fibrillin preprotein in vitro and in vivo.	ABA INSENSITIVE 2; ABI2; ATABI2	 cytoplasm, collective leaf structure, cytoplasm, cytosol, flowering stage, guard cell, inflorescence meristem, magnesium-dependent protein serine/threonine phosphatase activity, negative regulation of abscisic acid-activated signaling pathway, negative regulation of protein kinase activity, nucleus, petal differentiation and expansion stage, photoinhibition, protein binding, protein dephosphorylation, protein serine/threonine phosphatase activity, protein serine/threonine phosphatase complex, regulation of stomatal opening, response to abscisic acid, response to heat, response to osmotic stress, response to water deprivation, seed, seed dormant stage, sepal, stamen, stem	true
Gene:2014524	AT1G03190	AT1G03190.1	protein_coding	UV damage and heat induce a common stress response in plants that leads to tissue death and reduced chloroplast function. The UVH6 product is suggested to be a negative regulator of this response.	ARABIDOPSIS THALIANA XERODERMA PIGMENTOSUM GROUP D; ATXPD; ULTRAVIOLET HYPERSENSITIVE 6; UVH6	 nucleus, DNA helicase activity, DNA repair, IL.00 inflorescence just visible stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, RNA polymerase II CTD heptapeptide repeat kinase activity, carpel, cauline leaf, collective leaf structure, cotyledon, damaged DNA binding, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleotide-excision repair, DNA duplex unwinding, nucleotide-excision repair, DNA incision, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, portion of meristem tissue, positive regulation of mitotic recombination, positive regulation of transcription, DNA-templated, protein binding, regulation of mitotic recombination, response to UV, response to heat, response to oxidative stress, root, seed, sepal, shoot apex, shoot system, stamen, stem, transcription by RNA polymerase II, vascular leaf, vascular leaf senescent stage	true
Gene:1005713689	AT5G16820	AT5G16820.2	protein_coding	Encodes a putative transcription factor whose expression is not induced by heat but whose stable overexpression leads to expression of HSP.  Required early in the stress response for transient expression of heat shock genes.	ARABIDOPSIS THALIANA CLASS A HEAT SHOCK FACTOR 1B; ATHSFA1B; CLASS A HEAT SHOCK FACTOR 1B; HEAT SHOCK FACTOR 3; HSF3; HSFA1B	 nucleus, DNA binding, DNA-binding transcription factor activity, RNA polymerase II cis-regulatory region sequence-specific DNA binding, carpel, cellular response to heat, collective leaf structure, flower, flower pedicel, flowering stage, guard cell, host cell nucleus, hypocotyl, inflorescence meristem, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, positive regulation of transcription from RNA polymerase II promoter in response to heat stress, protein binding, regulation of transcription from RNA polymerase II promoter in response to stress, response to heat, root, seed, sepal, sequence-specific DNA binding, stamen, stem	true
Gene:6532561757	AT2G26150	AT2G26150.3	protein_coding	member of Heat Stress Transcription Factor (Hsf) family. Involved in response to misfolded protein accumulation in the cytosol. Regulated by alternative splicing and non-sense-mediated decay.		 nucleus, DNA-binding transcription factor activity, RNA polymerase II cis-regulatory region sequence-specific DNA binding, carpel, cellular response to heat, cellular response to hypoxia, cellular response to unfolded protein, flower, flower pedicel, flowering stage, guard cell, heat acclimation, host cell nucleus, nucleus, petal differentiation and expansion stage, plant embryo, plant embryo globular stage, plant sperm cell, pollen, positive regulation of transcription from RNA polymerase II promoter in response to heat stress, positive regulation of transcription, DNA-templated, protein binding, regulation of transcription from RNA polymerase II promoter in response to stress, regulation of transcription, DNA-templated, response to chitin, response to heat, response to hydrogen peroxide, response to hypoxia, root, sequence-specific DNA binding, stamen, transcription regulatory region DNA binding, transcription regulatory region sequence-specific DNA binding	true
Gene:6532556139	AT1G05850	AT1G05850.2	protein_coding	Encodes an endo chitinase-like protein AtCTL1.  Essential for tolerance to heat, salt and drought stresses.  Also involved in root hair development, cell expansion and response to cytokinin.  Allelic  to erh2. 11 alleles described in Hauser (1995). Mutant is defective in acquired thermotolerance, appears semidwarf throughout its life cycle and has extra lateral branches. There are two EMS alleles. Expression of AtHSP101 is not affected in the mutants.		 extracellular region, Golgi apparatus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT chitinase activity, anther, apoplast, carpel, cauline leaf, cell wall macromolecule catabolic process, cellulose biosynthetic process, chitin catabolic process, collective leaf structure, cotyledon, extracellular region, filament, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, lignin biosynthetic process, mature plant embryo stage, multidimensional cell growth, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, polysaccharide binding, regulation of carbohydrate biosynthetic process, regulation of salicylic acid metabolic process, response to cytokinin, response to heat, response to nitrate, response to salt stress, response to water deprivation, root, root epidermal cell differentiation, seed, sepal, shoot apex, shoot system, stamen, stem, stigma, vascular leaf, vascular leaf senescent stage	true
Gene:2025509	AT1G08550	AT1G08550.1	protein_coding	Violaxanthin deepoxidase involved in xanthophyll cycle.Two major consequences of the npq1 mutation are the absence of zeaxanthin formation in strong light and the partial inhibition of the quenching of singlet excited chlorophylls in the photosystem II light-harvesting complex	ARABIDOPSIS VIOLAXANTHIN DE-EPOXIDASE 1; AVDE1; NON-PHOTOCHEMICAL QUENCHING 1; NPQ1	 chloroplast, chloroplast thylakoid, thylakoid lumen, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, chlorophyll metabolic process, chloroplast, chloroplast photosystem II, chloroplast thylakoid, chloroplast thylakoid lumen, collective leaf structure, cotyledon, cytosol, extracellular region, fatty acid metabolic process, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, oxidoreductase activity, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein binding, response to heat, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, thylakoid lumen, vascular leaf, vascular leaf senescent stage, violaxanthin de-epoxidase activity, xanthophyll cycle, xanthophyll metabolic process	true
Gene:2119474	AT4G13670	AT4G13670.1	protein_coding	plastid transcriptionally active 5;(source:Araport11)	PLASTID TRANSCRIPTIONALLY ACTIVE 5; PTAC5	 chloroplast, chloroplast thylakoid, chloroplast thylakoid membrane, chloroplast envelope, chloroplast nucleoid, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, chloroplast, chloroplast envelope, chloroplast nucleoid, chloroplast organization, chloroplast thylakoid, chloroplast thylakoid membrane, collective leaf structure, cotyledon, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid chromosome, plastid transcription, plastid-encoded plastid RNA polymerase complex, pollen, protein binding, protein disulfide isomerase activity, regulation of transcription, DNA-templated, response to heat, response to light stimulus, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1005715085	AT1G79550	AT1G79550.2	protein_coding	Encodes cytosolic phosphoglycerate kinase (PGK3). Expression studies in PGK mutants showed that PGK1 and PGK3 were down-regulated in pgk3.2 and pgk1.1, respectively. These results indicate that the down-regulation of photosynthetic activity could be a plant strategy when glycolysis is impaired to achieve metabolic adjustment and optimize growth.	PGK; PGK3; PGKC; PHOSPHOGLYCERATE KINASE; PHOSPHOGLYCERATE KINASE 3	 Golgi apparatus, cytoplasm, cytosol, nucleus, plasma membrane, vacuolar membrane, apoplast, fruit, seed, vascular leaf, cultured plant cell, seedling development stage, pollen, ADP binding, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT Golgi apparatus, apoplast, carpel, cauline leaf, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, flower, flower pedicel, flowering stage, fruit, gluconeogenesis, glycolytic process, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, nucleus, petal, petal differentiation and expansion stage, petiole, phosphoglycerate kinase activity, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasmodesma, pollen, positive regulation of oxidative phosphorylation, protein kinase activity, response to glucose, response to heat, response to light stimulus, response to molecule of bacterial origin, root, rosette leaf, seed, seed development stage, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, trichome, vacuolar membrane, vascular leaf, vascular leaf senescent stage, whole plant	true
Gene:6532553189	AT1G50500	AT1G50500.3	protein_coding	encodes a member of VPS53 family protein involved in the retrograde trafficking of vesicles to the late Golgi. Mutants in this gene are more sensitive to heat and osmotic stress.		 plasma membrane, GARP complex, Golgi apparatus, Golgi membrane, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT cytosol, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, fruit, guard cell, heat acclimation, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasma membrane organization, pollen, protein binding, response to heat, response to osmotic stress, retrograde transport, endosome to Golgi, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2195051	AT1G12610	AT1G12610.1	protein_coding	Encodes a member of the DREB subfamily A-1 of ERF/AP2 transcription factor family (DDF1). The protein contains one AP2 domain. There are six members in this subfamily, including CBF1, CBF2, and CBF3. Overexpression of this gene results in delayed flowering and dwarfism, reduction of gibberellic acid biosynthesis, and increased tolerance to high levels of salt. This gene is expressed in all tissues examined, but most abundantly expressed in upper stems. Overexpression of this gene is also correlated with increased expression of GA biosynthetic genes and RD29A (a cold and drought responsive gene). Under salt stress it induces the expression of GAOX7, which encodes ad C20-GA inhibitor.	ATDDF1; DDF1; DWARF AND DELAYED FLOWERING 1	 nucleus, DNA-binding transcription factor activity, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, carpel, cotyledon, flower, flower pedicel, flowering stage, glucosinolate metabolic process, guard cell, hypocotyl, leaf apex, nucleus, petal differentiation and expansion stage, regulation of gibberellin biosynthetic process, regulation of timing of transition from vegetative to reproductive phase, regulation of transcription, DNA-templated, regulation of unidimensional cell growth, response to freezing, response to heat, response to salt stress, response to water deprivation, root, sequence-specific DNA binding, shoot apex, stamen, stem, transcription regulatory region DNA binding, transcription regulatory region sequence-specific DNA binding, vascular leaf	true
Gene:4515102057	AT5G02500	AT5G02500.2	protein_coding	encodes a member of heat shock protein 70 family.	ARABIDOPSIS THALIANA HEAT SHOCK COGNATE PROTEIN 70-1; AT-HSC70-1; ATHSP70-1; HEAT SHOCK COGNATE PROTEIN 70; HEAT SHOCK COGNATE PROTEIN 70-1; HEAT SHOCK PROTEIN 70-1; HSC70; HSC70-1; HSP70-1	 Golgi apparatus, chloroplast, cytoplasm, cytosol, plasma membrane, vacuolar membrane, apoplast, seed, vascular leaf, cultured plant cell, seedling development stage, ATP binding, ATPase activity, Golgi apparatus, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, NOT cytosol, apoplast, carpel, cauline leaf, cell wall, cellular response to unfolded protein, chaperone cofactor-dependent protein refolding, chloroplast, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, cytosolic ribosome, defense response to bacterium, defense response to fungus, defense response to other organism, flower, flower pedicel, flowering stage, fruit, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, mature plant embryo stage, misfolded protein binding, negative regulation of seed germination, nucleolus, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, plasma membrane, plasmodesma, pollen, pollen tube cell, protease binding, protein binding, protein folding, protein folding chaperone, protein refolding, response to cadmium ion, response to cold, response to heat, response to unfolded protein, response to virus, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, stomatal closure, trichome, unfolded protein binding, vacuolar membrane, vascular leaf, vascular leaf senescent stage	true
Gene:6532545413	AT3G09440	AT3G09440.4	protein_coding	Heat shock protein 70 (Hsp 70) family protein;(source:Araport11)		 chloroplast, ATP binding, ATPase activity, Golgi apparatus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apoplast, carpel, cauline leaf, cell wall, cellular response to unfolded protein, chaperone cofactor-dependent protein refolding, chloroplast, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, cytosolic ribosome, flower, flower pedicel, flowering stage, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, misfolded protein binding, nuclear matrix, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasmodesma, pollen, pollen tube cell, protease binding, protein binding, protein folding, protein folding chaperone, protein refolding, response to cadmium ion, response to heat, response to karrikin, response to unfolded protein, response to virus, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vacuolar membrane, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:2091746	AT3G24500	AT3G24500.1	protein_coding	One of three genes in A. thaliana encoding multiprotein bridging factor 1, a highly conserved transcriptional coactivator.  May serve as a bridging factor between a bZIP factor and TBP.  Its expression is specifically elevated in response to pathogen infection, salinity, drought, heat, hydrogen peroxide, and application of abscisic acid or salicylic acid.  Constitutive expression enhances the tolerance of transgenic plants to various biotic and abiotic stresses.	ATMBF1C; MBF1C; MULTIPROTEIN BRIDGING FACTOR 1C	 nucleus, DNA-binding transcription factor activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cellular response to hypoxia, collective leaf structure, cotyledon, ethylene-activated signaling pathway, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, intracellular, leaf apex, leaf lamina base, mature plant embryo stage, nucleolus, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, positive regulation of transcription, DNA-templated, response to abscisic acid, response to heat, response to water deprivation, root, seed, sepal, shoot apex, shoot system, stamen, stem, transcription coactivator activity, vascular leaf, vascular leaf senescent stage	true
Gene:2098930	AT3G61190	AT3G61190.1	protein_coding	Encodes a protein with a C2 domain that binds to BON1 in yeast two hybrid analyses. Its ability to bind to phospholipids is enhanced by calcium ions. Involved in maintaining cell homeostasis.	BAP1; BON ASSOCIATION PROTEIN 1	 mitochondrion, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cellular homeostasis, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, membrane, mitochondrion, negative regulation of defense response, petal, petal differentiation and expansion stage, petiole, phospholipid binding, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein binding, response to cold, response to heat, response to salicylic acid, response to temperature stimulus, response to wounding, root, seed, sepal, shoot apex, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:2115014	AT4G36990	AT4G36990.1	protein_coding	Encodes a protein whose sequence is similar to heat shock factors that regulate the expression of heat shock proteins. Transcript level is increased in response to heat shock. However, overexpression of this gene did not result in the increase of decrease of heat shock proteins.	ARABIDOPSIS THALIANA CLASS B HEAT SHOCK FACTOR B1; ARABIDOPSIS THALIANA HEAT SHOCK FACTOR 4; AT-HSFB1; ATHSF4; CLASS B HEAT SHOCK FACTOR B1; HEAT SHOCK FACTOR 4; HSF4; HSFB1; TBF1; TL1-BINDING TRANSCRIPTION FACTOR 1	 nucleus, DNA-binding transcription factor activity, RNA polymerase II cis-regulatory region sequence-specific DNA binding, cellular response to heat, host cell nucleus, negative regulation of transcription, DNA-templated, nucleus, positive regulation of transcription from RNA polymerase II promoter in response to heat stress, regulation of transcription from RNA polymerase II promoter in response to stress, response to heat, sequence-specific DNA binding	true
Gene:2149049	AT5G16820	AT5G16820.1	protein_coding	Encodes a putative transcription factor whose expression is not induced by heat but whose stable overexpression leads to expression of HSP.  Required early in the stress response for transient expression of heat shock genes.	ARABIDOPSIS HEAT SHOCK FACTOR 3; ARABIDOPSIS THALIANA CLASS A HEAT SHOCK FACTOR 1B; ATHSF3; ATHSFA1B; CLASS A HEAT SHOCK FACTOR 1B; HEAT SHOCK FACTOR 3; HSF3; HSFA1B	 nucleus, DNA binding, DNA-binding transcription factor activity, RNA polymerase II cis-regulatory region sequence-specific DNA binding, carpel, cellular response to heat, collective leaf structure, flower, flower pedicel, flowering stage, guard cell, host cell nucleus, hypocotyl, inflorescence meristem, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, positive regulation of transcription from RNA polymerase II promoter in response to heat stress, protein binding, regulation of transcription from RNA polymerase II promoter in response to stress, response to heat, root, seed, sepal, sequence-specific DNA binding, stamen, stem	true
Gene:2163990	AT5G63870	AT5G63870.1	protein_coding	Encodes a nuclear localized serine/threonine phosphatase that appears to be regulated by redox activity and is a positive regulator of cryptochrome mediated blue light signalling.	ATPP7; PP7; SERINE/THREONINE PHOSPHATASE 7	 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, blue light signaling pathway, carpel, cauline leaf, collective leaf structure, cotyledon, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein dephosphorylation, protein serine/threonine phosphatase activity, response to heat, root, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:1005714979	AT2G32120	AT2G32120.2	protein_coding	heat-shock protein 70T-2;(source:Araport11)	HEAT-SHOCK PROTEIN 70T-2; HSP70T-2	 cytoplasm, ATP binding, ATPase activity, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cellular response to unfolded protein, chaperone cofactor-dependent protein refolding, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, misfolded protein binding, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, protein folding, protein folding chaperone, protein refolding, response to heat, response to unfolded protein, root, seed, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vascular leaf, vascular leaf senescent stage	true
Gene:2086151	AT3G16920	AT3G16920.1	protein_coding	Encodes a chitinase-like protein expressed predominantly in stems. Mutants accumulate ligning in etiolated hypocotyls.	ATCTL2; CHITINASE-LIKE PROTEIN 2; CTL2	 extracellular region, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT response to heat, NOT response to salt stress, anther, carbohydrate metabolic process, carpel, cell wall macromolecule catabolic process, chitin catabolic process, chitinase activity, collective leaf structure, extracellular region, flower, flowering stage, guard cell, gynoecium, hypocotyl, inflorescence meristem, leaf apex, lignin biosynthetic process, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo globular stage, plasma membrane, root, sepal, shoot system, stamen, stem, stigma, vascular leaf, xylem	true
Gene:2162691	AT5G48030	AT5G48030.1	protein_coding	encodes a mitochondrially targeted DNAJ protein involved in female gametophyte development.	GAMETOPHYTIC FACTOR 2; GFA2	 chloroplast, plant callus, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chaperone cofactor-dependent protein refolding, chloroplast, collective leaf structure, cotyledon, cytoplasm, embryo sac cellularization, embryo sac development, flower, flower pedicel, flowering stage, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, mitochondrion, nuclear membrane fusion, petal, petal differentiation and expansion stage, petiole, plant callus, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, polar nucleus fusion, pollen, protein refolding, response to heat, root, seed, seed germination stage, sepal, shoot apex, shoot system, stamen, stem, synergid death, unfolded protein binding, vascular leaf, vascular leaf senescent stage, whole plant	true
Gene:2083558	AT3G09350	AT3G09350.1	protein_coding	Encodes one of the Arabidopsis orthologs of the human Hsp70-binding protein 1 (HspBP-1) and yeast Fes1p: Fes1A (AT3G09350), Fes1B (AT3G53800), Fes1C (AT5G02150). Fes1A is cytosolic and associates with cytosolic Hsp70.  Mutants showed increased heat-sensitive phenotype suggestion the involvement of Fes1A in acquired thermotolerance.  Does not have nucleotide exchange factor activity in vitro.	FES1A	 cytoplasm, Hsp70 protein binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, adenyl-nucleotide exchange factor activity, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, endoplasmic reticulum, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, response to heat, response to salt stress, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532561433	AT2G38750	AT2G38750.2	protein_coding	Annexins are a family of calcium dependent membrane binding proteins though to be involved in Golgi mediated secretion. This is one of four annexins identified in Arabidopsis.		 chloroplast, Golgi apparatus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, calcium ion binding, calcium-dependent phospholipid binding, cauline leaf, cell surface, chloroplast, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mRNA binding, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasmodesma, pollen, response to abscisic acid, response to cold, response to heat, response to osmotic stress, response to salt stress, response to water deprivation, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532551400	AT4G13670	AT4G13670.3	protein_coding	plastid transcriptionally active 5;(source:Araport11)		 chloroplast, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, chloroplast, chloroplast envelope, chloroplast nucleoid, chloroplast organization, chloroplast thylakoid, chloroplast thylakoid membrane, collective leaf structure, cotyledon, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid chromosome, plastid transcription, plastid-encoded plastid RNA polymerase complex, pollen, protein binding, protein disulfide isomerase activity, regulation of transcription, DNA-templated, response to heat, response to light stimulus, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532562522	AT4G13670	AT4G13670.4	protein_coding	plastid transcriptionally active 5;(source:Araport11)		 chloroplast, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, chloroplast, chloroplast envelope, chloroplast nucleoid, chloroplast organization, chloroplast thylakoid, chloroplast thylakoid membrane, collective leaf structure, cotyledon, cytosol, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid chromosome, plastid transcription, plastid-encoded plastid RNA polymerase complex, pollen, protein binding, protein disulfide isomerase activity, regulation of transcription, DNA-templated, response to heat, response to light stimulus, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
